
Name                                        PackageFullName                                                            
----                                        ---------------                                                            
1527c705-839a-4832-9118-54d4Bd6a0c89        1527c705-839a-4832-9118-54d4Bd6a0c89_10.0.16299.15_neutral_neutral_cw5n1...
c5e2524a-ea46-4f67-841f-6a9465d9d515        c5e2524a-ea46-4f67-841f-6a9465d9d515_10.0.16299.15_neutral_neutral_cw5n1...
E2A4F912-2574-4A75-9BB0-0D023378592B        E2A4F912-2574-4A75-9BB0-0D023378592B_10.0.16299.15_neutral_neutral_cw5n1...
F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE        F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE_10.0.16299.15_neutral_neutral_cw5n1...
InputApp                                    InputApp_1000.16299.15.0_neutral_neutral_cw5n1h2txyewy                     
Microsoft.AAD.BrokerPlugin                  Microsoft.AAD.BrokerPlugin_1000.16299.15.0_neutral_neutral_cw5n1h2txyewy   
Microsoft.AccountsControl                   Microsoft.AccountsControl_10.0.16299.15_neutral__cw5n1h2txyewy             
Microsoft.BioEnrollment                     Microsoft.BioEnrollment_10.0.16299.15_neutral__cw5n1h2txyewy               
Microsoft.CredDialogHost                    Microsoft.CredDialogHost_10.0.16299.15_neutral__cw5n1h2txyewy              
Microsoft.ECApp                             Microsoft.ECApp_10.0.16299.15_neutral__8wekyb3d8bbwe                       
Microsoft.LockApp                           Microsoft.LockApp_10.0.16299.15_neutral__cw5n1h2txyewy                     
Microsoft.MicrosoftEdge                     Microsoft.MicrosoftEdge_41.16299.15.0_neutral__8wekyb3d8bbwe               
Microsoft.PPIProjection                     Microsoft.PPIProjection_10.0.16299.15_neutral_neutral_cw5n1h2txyewy        
Microsoft.Windows.Apprep.ChxApp             Microsoft.Windows.Apprep.ChxApp_1000.16299.15.0_neutral_neutral_cw5n1h2t...
Microsoft.Windows.AssignedAccessLockApp     Microsoft.Windows.AssignedAccessLockApp_1000.16299.15.0_neutral_neutral_...
Microsoft.Windows.CloudExperienceHost       Microsoft.Windows.CloudExperienceHost_10.0.16299.15_neutral_neutral_cw5n...
Microsoft.Windows.ContentDeliveryManager    Microsoft.Windows.ContentDeliveryManager_10.0.16299.15_neutral_neutral_c...
Microsoft.Windows.Cortana                   Microsoft.Windows.Cortana_1.9.6.16299_neutral_neutral_cw5n1h2txyewy        
Microsoft.Windows.HolographicFirstRun       Microsoft.Windows.HolographicFirstRun_10.0.16299.98_neutral_neutral_cw5n...
Microsoft.Windows.OOBENetworkCaptivePortal  Microsoft.Windows.OOBENetworkCaptivePortal_10.0.16299.15_neutral__cw5n1h...
Microsoft.Windows.OOBENetworkConnectionFlow Microsoft.Windows.OOBENetworkConnectionFlow_10.0.16299.15_neutral__cw5n1...
Microsoft.Windows.ParentalControls          Microsoft.Windows.ParentalControls_1000.16299.15.0_neutral_neutral_cw5n1...
Microsoft.Windows.PeopleExperienceHost      Microsoft.Windows.PeopleExperienceHost_10.0.16299.15_neutral_neutral_cw5...
Microsoft.Windows.PinningConfirmationDialog Microsoft.Windows.PinningConfirmationDialog_1000.16299.15.0_neutral__cw5...
Microsoft.Windows.SecHealthUI               Microsoft.Windows.SecHealthUI_10.0.16299.15_neutral__cw5n1h2txyewy         
Microsoft.Windows.SecondaryTileExperience   Microsoft.Windows.SecondaryTileExperience_10.0.0.0_neutral__cw5n1h2txyewy  
